IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|43622|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43628|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|20219|buro|sysburotienda|1
10.50.71.69|43636|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43648|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43664|buro|sysburotienda|1
10.50.71.69|43670|buro|sysburotienda|1
10.50.71.69|43686|buro|sysburotienda|1
10.50.71.69|43700|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43726|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43734|buro|sysburotienda|1
10.50.71.69|43744|buro|sysburotienda|1
10.50.71.69|7394|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|7406|infocrediticiacte|sysinfocrediticia|1
10.50.70.36|35634|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|7414|buro|sysburotienda|1
10.50.71.69|7424|buro|sysburotienda|1
10.50.70.24|34540|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|50852|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|50866|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|36636|buro|sysburotienda|1
10.50.71.69|36646|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|36650|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|21976|buro|sysburotienda|1
10.50.71.69|36654|buro|sysburotienda|1
10.50.71.69|36662|buro|sysburotienda|1
10.50.71.69|36674|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|36682|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43378|buro|sysburotienda|1
10.50.70.91|56072|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|43390|buro|sysburotienda|1
10.50.70.33|34584|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|51512|buro|sysburotienda|1
