IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|56770|buro|sysburotienda|1
10.50.71.69|56782|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|56798|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|56812|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|56818|buro|sysburotienda|1
10.50.71.69|56822|buro|sysburotienda|1
10.50.71.69|9644|buro|sysburotienda|1
10.50.71.69|9650|buro|sysburotienda|1
10.50.71.69|9660|buro|sysburotienda|1
10.50.71.69|9668|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|9674|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|57674|buro|sysburotienda|1
10.50.71.69|57680|buro|sysburotienda|1
10.50.71.69|57686|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|5934|buro|sysburotienda|1
10.50.71.69|5946|buro|sysburotienda|1
10.50.71.69|5960|buro|sysburotienda|1
10.50.71.69|5972|buro|sysburotienda|1
10.50.71.69|5978|buro|sysburotienda|1
10.50.71.69|5988|buro|sysburotienda|1
10.50.71.69|5990|buro|sysburotienda|1
10.50.71.69|6004|buro|sysburotienda|1
10.50.71.69|6030|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6032|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6046|infocrediticiacte|sysinfocrediticia|2
10.50.71.69|6050|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|44674|buro|sysburotienda|1
10.50.71.69|6054|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6060|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6070|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|16627|buro|sysburotienda|1
10.50.71.69|6086|buro|sysburotienda|2
10.50.71.69|6090|buro|sysburotienda|1
10.50.71.69|6100|buro|sysburotienda|1
10.50.71.69|6106|buro|sysburotienda|1
10.50.71.69|6110|buro|sysburotienda|1
10.50.71.69|6122|buro|sysburotienda|1
10.50.71.69|6128|buro|sysburotienda|1
10.50.71.69|6140|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6154|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6164|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|41476|buro|sysburotienda|1
10.50.71.69|6174|infocrediticiacte|sysinfocrediticia|2
10.50.71.69|6186|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|6200|infocrediticiacte|sysinfocrediticia|1
