IP|PUERTO|BD|USUARIO|USOS
127.0.0.1|28062|cartera|sysreplicacioncartera|1
10.196.42.159|57800|cartera|syscuentaweb|1
vm-hcl-appdynamic-be-prod-02.us-central1-a.c.cpl-ec-hcl-be-prod-06072023.internal|45570|postgres|sysappdynamics|1
10.196.42.160|42020|cartera|syscuentaweb|1
vm-hcl-appdynamic-be-prod-02.us-central1-a.c.cpl-ec-hcl-be-prod-06072023.internal|36878|postgres|sysappdynamics|1
vm-hcl-appdynamic-be-prod-02.us-central1-a.c.cpl-ec-hcl-be-prod-06072023.internal|20850|postgres|sysappdynamics|1
vm-hcl-appdynamic-be-prod-02.us-central1-a.c.cpl-ec-hcl-be-prod-06072023.internal|45572|postgres|sysappdynamics|1
10.196.42.155|48540|cartera|syscuentaweb|1
10.196.42.159|60500|cartera|syscuentaweb|1
10.196.42.160|60004|cartera|syscuentaweb|1
10.200.127.57|33238|cartera|syssistemascarteras|1
10.200.127.57|32836|cartera|syssistemascarteras|3
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|60184|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|60194|postgres|sysopsramp|2
10.196.24.199|53990|cartera|sysinternetcartera|1
10.196.78.41|54650|cartera|systiendacarteratdas|1
127.0.0.1|4026|cartera|sysreplicacioncartera|1
127.0.0.1|58518|cartera|sysreplicacioncartera|1
127.0.0.1|8754|cartera|sysreplicacioncartera|1
10.196.42.162|41266|cartera|syscuentaweb|1
10.200.127.57|59768|cartera|syssistemascarteras|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|46436|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|46438|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41324|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41330|postgres|sysopsramp|1
10.196.42.159|46008|cartera|syscuentaweb|1
10.196.42.162|59476|cartera|syscuentaweb|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41572|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41582|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41770|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|41780|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|47698|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|47710|postgres|sysopsramp|1
10.196.42.159|53654|cartera|syscuentaweb|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|47842|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|47856|postgres|sysopsramp|1
10.196.24.199|35342|cartera|sysinternetcartera|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|48012|postgres|sysopsramp|1
vm-opsramp-nttdata-prod-01.us-central1-a.c.cpl-mon-nttdata-prod-22012024.internal|48028|postgres|sysopsramp|1
10.196.24.199|41358|cartera|sysinternetcartera|1
