IP|PUERTO|BD|USUARIO|USOS
10.30.120.21|7688|postgres|sysappdynamics|3
[local]||postgres|postgres|5027
[local]||dbaaplicaciones|postgres|485
10.30.120.21|59730|postgres|sysappdynamics|4
10.30.120.21|32268|postgres|sysappdynamics|3
10.30.120.21|7690|postgres|sysappdynamics|3
[local]||postgres|sysbcp|379
10.28.224.180|18660|postgres|sysappdynamics|1
10.28.224.180|18676|postgres|sysappdynamics|1
10.28.230.123|9684|postgres|sysappdynamics|1
10.28.230.123|9692|postgres|sysappdynamics|1
10.28.230.123|23548|conciliadortt|sysappdynamics|1
10.28.230.123|23554|dbaaplicaciones|sysappdynamics|1
10.28.230.123|23560|oxxo|sysappdynamics|1
10.28.230.123|23570|postgres|sysappdynamics|1
10.28.230.123|55032|postgres|sysappdynamics|1
10.28.230.123|55034|postgres|sysappdynamics|1
10.28.230.123|55036|postgres|sysappdynamics|1
10.28.230.123|55038|postgres|sysappdynamics|1
10.28.230.123|55040|postgres|sysappdynamics|1
10.28.230.123|55046|postgres|sysappdynamics|1
10.28.230.123|55060|postgres|sysappdynamics|1
10.28.230.123|55064|postgres|sysappdynamics|1
10.28.230.123|55072|postgres|sysappdynamics|1
10.28.230.123|55088|postgres|sysappdynamics|1
10.28.230.123|55090|postgres|sysappdynamics|1
10.28.230.123|55094|postgres|sysappdynamics|1
10.28.230.123|55096|postgres|sysappdynamics|1
10.28.230.123|55106|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55120|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55132|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55146|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55158|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55166|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55176|dbaaplicaciones|sysappdynamics|1
10.28.230.123|55180|dbaaplicaciones|sysappdynamics|1
10.28.230.123|52494|dbaaplicaciones|sysappdynamics|1
10.28.230.123|52498|dbaaplicaciones|sysappdynamics|1
10.28.230.123|52512|dbaaplicaciones|sysappdynamics|1
10.28.230.123|52526|conciliadortt|sysappdynamics|1
10.28.230.123|52530|conciliadortt|sysappdynamics|1
10.28.230.123|52540|conciliadortt|sysappdynamics|1
10.28.230.123|52554|conciliadortt|sysappdynamics|1
10.28.230.123|52568|conciliadortt|sysappdynamics|1
10.28.230.123|52576|conciliadortt|sysappdynamics|1
10.28.230.123|52586|conciliadortt|sysappdynamics|1
10.28.230.123|52594|conciliadortt|sysappdynamics|1
10.28.230.123|52608|conciliadortt|sysappdynamics|1
10.28.230.123|52620|conciliadortt|sysappdynamics|1
10.28.230.123|52634|conciliadortt|sysappdynamics|1
10.28.230.123|52650|oxxo|sysappdynamics|1
10.28.230.123|52662|oxxo|sysappdynamics|1
10.28.230.123|52672|oxxo|sysappdynamics|1
